SOC (%),Voltage (V),Current (A),Battery Temp (°C),Ambient Temp (°C),Charging Duration (min),Degradation Rate (%),Charging Mode,Efficiency (%),Battery Type,Charging Cycles,EV Model,Optimal Charging Duration Class
43.708610696262625,3.629593050187034,33.55351153623154,33.45405988417796,26.439917565671855,59.363552027744205,8.805096198000713,Fast,98.23898076039985,Li-ion,112,Model B,1
95.56428757689245,3.879330663164851,32.22809191647998,35.933627943827446,31.108646585999725,67.34356593750215,12.186859604161175,Fast,97.56262807916777,LiFePO4,398,Model A,1
75.87945476302646,4.111062085113486,91.5629122468933,25.00935797584998,30.20321859580318,105.45473932021804,13.832335580295327,Slow,97.23353288394094,LiFePO4,175,Model A,2
63.8792635777333,4.012557420486693,32.45915798645555,32.49748199213998,18.077998093875472,54.00043860598922,9.318873828992766,Fast,98.13622523420145,LiFePO4,150,Model B,1
24.041677639819287,4.0645928035030146,34.47547535157679,31.434919662874975,17.984989394829476,106.96496848121713,11.687577238569475,Fast,97.6624845522861,Li-ion,886,Model C,2
24.03950683025824,3.9611483566975023,78.34584361761674,36.65660753576542,20.363487354898268,28.81344309766915,5.435925976440278,Slow,98.91281480471194,Li-ion,248,Model C,0
15.227525095137953,3.984593595162497,50.4765858205486,38.12174120962521,22.221494526820745,97.67984372086308,10.807450291976748,Fast,97.83850994160466,LiFePO4,830,Model B,2
87.95585311974416,4.0944369560957234,79.9039501259663,20.243135429547735,23.169111628169652,104.75476330547363,14.139513036254067,Fast,97.17209739274918,LiFePO4,221,Model A,2
64.1003510568888,3.67476760620143,15.882954180794671,33.48039838117585,28.593944336666905,38.181765283733874,8.06085124554772,Slow,98.38782975089046,Li-ion,310,Model B,0
73.7265320016441,3.8425974745501983,53.88140743060459,21.03671598239458,16.13360864331671,63.03465323722004,9.991050168970272,Slow,98.00178996620595,Li-ion,379,Model C,1
11.85260448662222,3.6548466092737217,13.025224016495436,30.97717330154712,15.693454084521328,36.54997746636556,5.1873203449389305,Normal,98.96253593101221,Li-ion,637,Model C,0
97.29188669457949,4.191367605597653,15.638788310981907,25.752654580873564,22.838211258878182,90.66041289942177,13.707261472057802,Fast,97.25854770558844,LiFePO4,784,Model B,2
84.91983767203796,4.160841537780629,91.57937080099698,26.135531990442825,28.94327384275961,73.53477680616567,11.680666550304512,Normal,97.6638666899391,LiFePO4,255,Model A,1
29.110519961044854,3.5275987679579544,22.532083400583566,27.05917006904713,18.868706859129652,83.5323346708321,9.769512390740607,Normal,98.04609752185188,Li-ion,337,Model B,2
26.364247048639054,3.993902620760982,57.91786140476954,32.4258489809922,27.830089625125034,39.64869669562111,6.243562859449988,Slow,98.75128742811,LiFePO4,475,Model A,0
